year,honey_producing_colonies,yield_per_colony,production,stocks,avg_price_pound,value_of_production
2000,2620,84.1,220339,85328,0.60,132742
2001,2506,74.0,185461,64556,0.70,132225
2002,2524,67.8,171140,39047,1.29,221638
2003,2599,70,181727,40785,1.39,253106
2004,2556,71.8,183582,61222,1.09,201790
2005,2413,72.4,174818,62478,0.92,160428
2006,2392,64.7,154846,60528,1.04,161314
2007,2443,60.7,148341,52635,1.08,159763
2008,2301,69.9,160861,50445,1.41,226814
2009,2498,58.6,146416,37516,1.47,215671
2010,2684,65.5,175904,45307,1.60,281974
2011,2491,59.6,148357,36761,1.77,261850
2012,2624,56.1,147092,32922,1.95,286976
2013,2640,56.6,149499,38160,2.14,320077
2014,2740,65.1,178270,41192,2.16,385241
2015,2660,58.9,156544,42203,2.08,326081
