id,DateTime,Total,Discounts,Brewed_Coffee_12_oz,Brewed_Coffee_16_oz,Aquafina_Water,Muffin_Pastry_Case,Extra_Syrup,Bottled_Soda_Mt_Dew,Bottled_Soda_Diet_Pepsi,Latte_16_oz,Latte_12_oz,Original,String_Cheese,Soda_Fountain_24_oz,Starbucks_DS_Vanilla,Bottled_Soda_Wild_Cherry,Gatorade_Glacier_Freeze,TeaSmith_Tea_16_oz,Iced,Bottled_Soda_Diet_Mt_Dew,Candy_Snickers,Tea_Unsweetened,Bottled_Soda_Code_Red,Chips_Kettle_Jalapeo,Chex_Mix_Traditional,Rockstar_Zero_Punched,Ocean_Spray_Apple,Americano_16_oz,TeaSmith_Tea_12_oz,Tea_Half_and_Half,Chips_Kettle_Sea_Salt,Mocha_16_oz,Nuts_Cashews,Chips_Kettle_BBQ,Tea_Sweetened,Gatorade_Orange,Chex_Mix_Cheddar,Candy_KitKat,Parfait_Strawberry,Gatorade_Cool_Blue,Cheez_It_Original,Bottled_Soda_Pepsi,Nuts_Hot_n_Spicy_Peanuts,Candy_Peanut_Butter_MM's,Ocean_Spray_Orange,Kickstart_Raspberry,Kickstart_Orange,Candy_Reeses,Extra_Espresso,Clif_Bar_White_Chocolate_Macadamia_Nut,Candy_Twix,Western's_Jerky_Beef,Pringles_Original,Nuts_Salted_Peanuts,Pringles_Sour_Cream_Onion,Chocolate_Muscle_Milk,Kickstart_Pineapple_Orange_Mango,MM,Turtle_16_oz,Kickstart_Grape,Parfait_Blueberry,Moroccan_Mint,SoBe_Life_Acai,White_Mocha_16_oz,Gum_Spearmint,Kickstart_Mango_Lime,Clif_Bar_Brownie_Bar,Cheez_It_White_Cheddar,Starbucks_Mocha_Frap,Gatorade_Fruit_Punch,Hot_Chocolate_12_oz,Cup,Sweet_Pomegranate,Gatorade_Grape,White_Mocha_12_oz,Whipped_Topping,Starbucks_DS_Mocha,Hot_Chocolate_16_oz,Dr_Pepper,Ocean_Spray_CranGrape,Gum_Peppermint,meal
MNC7,2019-05-02 11:08:00,4.06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
X1WE,2019-05-02 11:09:00,1.74,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
8V7V,2019-05-02 11:11:00,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
81U1,2019-05-02 11:17:00,2.2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTQ8,2019-05-02 11:23:00,8.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4U23,2019-05-02 11:25:00,3.91,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
T1QT,2019-05-02 11:27:00,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MHG7,2019-05-02 11:35:00,2.36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1YD7,2019-05-02 11:37:00,7.98,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
332K,2019-05-02 11:40:00,3.81,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
