brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
433,Molson Coors Canada,1080537990,4.0,3.0,3.0,fdrich29,American Adjunct Lager,3.0,3.0,Molson Canadian Lager,5.0,1312
158,Great Divide Brewing Company,1290849259,4.0,3.5,4.0,Flightoficarus,Märzen / Oktoberfest,4.0,3.5,Hoss,6.2,51631
779,"Adnams plc, Sole Bay Brewery",1093112626,4.0,4.0,3.5,ViveLaChouffe,Extra Special / Strong Bitter (ESB),4.0,4.0,Adnams SSB (Suffolk Special Bitter),4.5,7615
433,Molson Coors Canada,1104205759,2.0,1.5,2.0,feloniousmonk,American Adjunct Lager,2.0,2.0,Molson Canadian Lager,5.0,1312
888,"Cervecería Centro Americana, S.A.",1136188968,1.0,1.5,3.5,BeerBob,American Adjunct Lager,3.0,1.5,Famosa (Gallo),5.0,5294
26,Three Floyds Brewing Co. & Brewpub,1210046871,4.0,4.5,4.5,BigFrank71,Russian Imperial Stout,4.0,4.0,Dark Lord Imperial Stout,15.0,7520
192,New Belgium Brewing,1185308372,4.0,3.5,4.0,RixBeer,American Blonde Ale,4.0,3.5,Skinny Dip,4.2,29675
15237,De Struise Brouwers,1248989251,4.0,4.0,4.0,kbutler1,Quadrupel (Quad),3.0,4.0,Pannepot,10.0,34306
147,Stone Brewing Co.,1230674800,4.0,3.0,4.5,trpng0bily,Belgian IPA,4.5,3.5,Stone Cali-Belgique,6.9,43905
256,Lost Coast Brewery and Cafe,1286689642,3.5,3.5,4.0,biboergosum,American IPA,4.0,4.0,Indica India Pale Ale,6.5,1670
729,Palmetto Brewing Company,1137777435,4.0,3.5,3.5,bditty187,American Pale Lager,3.0,3.5,Palmetto Lager,5.4,2713
71,Fuller Smith & Turner PLC,1085405286,5.0,4.5,4.5,GeoffFromSJ,Extra Special / Strong Bitter (ESB),4.0,4.5,Fuller's ESB,5.9,219
259,Brouwerij St. Bernardus NV,1120085076,4.0,4.5,4.5,Sigmund,Tripel,4.0,4.0,Watou Tripel,7.5,1854
10099,Dogfish Head Brewery,1247620799,4.0,3.5,4.0,atsprings,Fruit / Vegetable Beer,4.0,4.0,Black & Blue,10.0,32437
3620,Tuppers' Hop Pocket Brewing Company,1110138538,4.0,3.0,3.5,StoutRugger,Keller Bier / Zwickel Bier,3.5,4.0,Tuppers' Hop Pocket Pils (Keller Pils),5.0,1191
140,Sierra Nevada Brewing Co.,1180837248,3.0,2.5,3.0,sstackho,American Brown Ale,3.0,3.0,Sierra Nevada Brown Ale,5.5,3055
863,Russian River Brewing Company,1301614357,5.0,5.0,4.5,goofyfootrr,American Double / Imperial IPA,5.0,5.0,Pliny The Elder,8.0,7971
385,Midnight Sun Brewing Co.,1107662012,3.5,4.5,4.5,guinness33,American IPA,3.5,3.5,Sockeye Red IPA,5.7,1089
140,Sierra Nevada Brewing Co.,1298256164,3.5,4.0,4.5,AdamBear,American Barleywine,3.0,3.0,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,2671
489,Brouwerij 't IJ,1163866943,5.0,4.5,4.5,NeroFiddled,Bock,4.5,4.5,Tur Bock,,1412
24,Traquair House Brewery Lld,1239683807,5.0,4.5,4.5,nycwinter,Scotch Ale / Wee Heavy,4.5,5.0,Traquair House Ale,7.2,36
22,Unibroue,1282098936,4.0,4.5,4.0,floraday,Belgian Pale Ale,4.0,4.0,Raftman,5.5,793
412,Kulmbacher Brauerei AG,1137215580,2.5,4.0,2.5,whynot44,Doppelbock,3.5,3.5,EKU 28,11.0,1230
385,Midnight Sun Brewing Co.,1273773509,4.5,4.5,4.0,Thorpe429,American Double / Imperial Stout,4.0,4.5,Berserker Imperial Stout,12.7,27339
583,Saint Louis Brewery / Schlafly Tap Room,1307589513,4.5,4.5,4.0,smakawhat,American IPA,4.5,4.5,Schlafly American IPA,7.2,52766
35,Boston Beer Company (Samuel Adams),1297221835,4.0,4.0,4.0,Satchboogie,American IPA,4.0,4.0,Samuel Adams Latitude 48 IPA,6.0,57252
610,Bear Republic Brewing Co.,1229493768,5.0,4.5,4.5,hoplover82,American Amber / Red Ale,5.0,4.5,Red Rocket Ale,6.8,1655
2958,BFM Brasserie Des Franches-Montagnes,1274797056,3.5,4.0,5.0,Anthony1,Eisbock,4.5,4.0,La Madragore Eisbock,17.0,58655
579,Kona Brewing Co.,1249507519,3.0,3.0,3.0,soupyman10,American Pale Lager,3.5,3.5,Longboard Island Lager,4.6,5328
16873,10 Barrel Brewing Co.,1324606995,3.5,3.5,4.5,Docer,American Amber / Red Ale,3.5,4.0,Precursor,10.0,76436
620,Der HirschBrau/Privatbrauerei Höss,1123994486,4.0,2.0,2.0,nouseforotacon,Munich Helles Lager,2.5,3.0,Neuschwansteiner,4.7,3183
287,"Bell's Brewery, Inc.",1156276137,3.0,2.5,2.5,DaPeculierDane,Czech Pilsener,2.5,2.5,Bell's Beer,5.3,3070
33,Berkshire Brewing Company Inc.,1228189965,4.0,3.5,4.0,thekevlarkid,Kölsch,3.5,3.5,Gold Spike Ale,4.2,10804
29,Anheuser-Busch,1318870372,2.0,2.5,2.5,spinrsx,American Adjunct Lager,2.0,2.0,Budweiser 4,4.0,58768
