brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
9792,Natty Greene's Pub & Brewing Co.,1135374599,,3.5,4.0,brentk56,Winter Warmer,4.5,4.5,Red Nose Winter Ale,6.8,21003
132,Rogue Ales,1312129443,,4.0,4.5,phiberoptik,American Barleywine,4.5,4.0,XS Old Crustacean,11.5,2965
9897,Jolly Pumpkin Artisan Ales,1205626460,,4.0,4.0,SaucyA,Saison / Farmhouse Ale,4.0,4.0,Bam Bière,4.5,28176
3,Abita Brewing Co.,1237434241,,3.5,3.5,babaracas,American IPA,3.5,3.5,Jockamo IPA,6.5,39390
147,Stone Brewing Co.,1104561420,,4.0,3.5,Reidrover,American Brown Ale,4.0,4.0,Stone 8th Anniversary Ale,7.8,19186
30,Avery Brewing Company,1274492805,,4.5,4.0,Bitterbill,American Wild Ale,3.5,4.0,Dépuceleuse,9.73,57331
208,Brouwerij Westmalle,1140987193,,4.0,4.5,Metalmonk,Tripel,5.0,5.0,Westmalle Trappist Tripel,9.5,646
187,Brouwerij Lindemans,1173149052,,2.0,5.0,katethegreat,Lambic - Fruit,4.5,4.0,Lindemans Kriek,4.0,600
688,Coastal Extreme Brewing Co.,1201649662,,4.0,3.5,jdhilt,Belgian Strong Dark Ale,4.0,4.0,Newport Storm - Elle (Cyclone Series),8.1,34732
16110,Rivertowne Pourhouse,1313507110,,3.0,3.5,Cylinsier,American Blonde Ale,3.0,3.5,Babbbling Blonde,5.3,59458
2147,VBL Tien Giang Limited (Fosters),1148441220,,4.0,4.0,OStrungT,Dortmunder / Export Lager,3.5,2.5,33 Export,4.5,5548
28,Anchor Brewing Company,1171324843,,4.0,3.5,cheers2beers,California Common / Steam Beer,3.0,3.5,Anchor Steam Beer,4.9,63
14879,Hoppin' Frog Brewery,1242590347,,4.0,4.0,Nickls,American IPA,3.5,4.0,Hoppin' To Heaven IPA,6.8,33624
220,Lagunitas Brewing Company,1243567413,,4.0,4.5,Lothore,American Double / Imperial IPA,3.5,4.0,Hop Stoopid,8.0,35738
388,Brasserie Cantillon,1289691100,,4.0,4.5,Patrick999,Lambic - Fruit,5.0,5.0,Cantillon Fou' Foune,5.0,5281
15642,Flat Earth Brewing Company,1221724841,,4.0,4.0,feloniousmonk,Belgian Pale Ale,4.0,4.0,Convention Ale,5.4,44257
39,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,1095297241,,3.0,3.0,PopeJonPaul,Munich Dunkel Lager,3.5,4.0,Ayinger Altbairisch Dunkel,5.0,134
12328,III Dachshunds/City Lounge,1263179038,,3.5,3.5,beerwolf77,Altbier,4.0,4.0,Ankle Biter,5.2,32162
10099,Dogfish Head Brewery,1194475591,,4.0,3.5,MMAJYK,Herbed / Spiced Beer,3.5,3.5,Midas Touch Golden Elixir,9.0,1587
