success,pass,down,toGo
0,0,1,10
0,1,2,10
-10,1,3,10
5,0,1,10
0,1,2,5
7,0,3,5
0,1,1,10
1,0,2,10
-6,1,3,9
0,1,1,10
0,0,2,10
-7,1,3,10
4,0,1,10
6,0,2,6
1,0,1,10
4,0,2,9
1,1,3,5
0,1,1,10
5,1,2,10
0,1,3,5
1,0,1,10
5,1,2,9
6,1,1,10
6,0,2,4
0,1,1,10
1,0,2,10
0,1,3,9
47,1,1,10
9,1,1,10
10,1,2,1
8,1,1,8
27,1,1,10
0,1,1,10
9,1,2,10
-2,0,3,1
9,1,1,10
1,1,2,1
5,0,1,10
0,0,2,5
11,1,3,5
5,1,1,10
-1,0,2,5
-8,1,3,6
9,1,1,10
7,1,2,1
-1,1,1,20
7,1,2,21
0,1,3,14
3,0,1,10
0,1,2,7
10,1,3,7
6,1,1,10
0,1,2,4
0,1,3,4
3,1,1,10
-2,1,2,7
-1,1,3,9
16,1,1,10
0,1,1,10
0,0,1,10
0,1,2,10
2,1,3,10
3,0,1,10
0,1,1,10
5,1,2,10
-7,1,3,15
8,0,1,10
1,0,2,2
0,1,3,1
0,0,1,10
-5,1,2,10
-5,1,3,15
22,1,1,10
27,1,1,15
5,1,1,10
0,1,2,5
0,1,3,10
3,0,4,10
9,0,1,10
6,0,2,1
2,0,1,10
10,1,2,8
-2,0,1,10
0,1,2,17
0,1,3,17
0,1,1,10
14,1,2,10
15,1,1,10
0,1,1,40
0,1,2,40
9,1,3,40
1,0,1,10
28,1,2,9
2,0,1,10
28,1,2,13
0,1,1,10
6,0,2,10
0,0,1,10
-2,0,2,10
10,0,3,12
6,1,1,10
4,1,2,4
5,1,1,10
9,1,2,5
0,1,1,10
0,1,2,10
21,1,3,10
2,1,1,10
7,1,2,8
5,1,3,1
0,1,1,10
0,1,2,10
0,1,3,10
5,0,1,10
0,1,2,5
2,0,3,5
2,1,1,10
0,1,2,8
0,1,3,8
-11,1,4,8
-1,0,1,5
-1,0,2,6
-8,1,1,10
4,0,2,18
12,0,3,14
8,1,1,20
23,1,2,12
4,0,1,10
3,0,2,6
0,1,1,10
1,1,1,10
21,0,2,9
0,1,1,10
19,0,2,10
2,0,1,10
3,1,2,8
0,1,1,10
5,1,2,10
6,1,3,5
-1,0,1,10
23,1,2,11
-1,0,1,10
2,1,2,11
0,1,2,19
0,1,3,19
3,0,1,10
6,1,2,7
2,0,3,1
23,0,1,10
-4,0,1,20
0,0,2,24
6,0,3,26
14,1,1,10
20,1,1,10
12,0,1,10
0,0,1,5
1,0,1,10
0,0,2,9
9,1,3,9
0,1,1,10
3,0,2,10
6,0,1,10
22,0,2,4
17,0,1,10
