DATE,ManufEmp,CPIUrban,CPIRent,EmpRatio,CivEmpLevel,NonfarmPayroll,Recession,USLeadingIndex
1948-01-01,14402,23.700,27.000,56.6,56339,44224,0,
1948-02-01,14344,23.500,27.100,56.7,56440,43956,0,
1948-03-01,14373,23.400,27.100,56.1,56601,44291,0,
1948-04-01,14082,23.800,27.200,56.7,57471,44082,0,
1948-05-01,14019,23.900,27.300,56.2,57763,44471,0,
1948-06-01,14173,24.100,27.400,57.0,59724,44951,0,
1948-07-01,14230,24.400,27.500,57.1,59955,44989,0,
1948-08-01,14463,24.500,27.600,56.6,59677,45338,0,
1948-09-01,14667,24.500,27.800,56.6,59337,45796,0,
1948-10-01,14543,24.400,27.900,56.5,59290,45693,0,
1948-11-01,14388,24.200,28.000,56.5,58991,45588,0,
1948-12-01,14203,24.100,28.100,56.8,58554,46074,1,
1949-01-01,13833,24.000,28.200,56.2,56486,44159,1,
1949-02-01,13715,23.800,28.300,56.2,56320,43821,1,
1949-03-01,13554,23.800,28.400,56.0,56809,43747,1,
1949-04-01,13293,23.900,28.500,55.7,56929,43881,1,
1949-05-01,13034,23.800,28.600,55.4,57669,43636,1,
1949-06-01,13038,23.900,28.600,55.0,58231,43668,1,
1949-07-01,12932,23.700,28.700,55.0,58171,43352,1,
1949-08-01,13282,23.800,28.800,55.1,58504,43823,1,
1949-09-01,13467,23.900,28.900,55.3,58324,44335,1,
1949-10-01,13070,23.700,29.000,54.9,58050,43447,1,
1949-11-01,12977,23.800,29.100,55.6,58616,43653,0,
1949-12-01,13174,23.600,29.200,55.3,57712,44596,0,
1950-01-01,13122,23.500,29.400,55.1,56189,42976,0,
1950-02-01,13138,23.500,29.400,55.1,56197,42573,0,
1950-03-01,13248,23.600,29.500,55.1,56733,43410,0,
1950-04-01,13315,23.600,29.500,55.8,57812,44011,0,
1950-05-01,13558,23.700,29.700,55.8,58719,44377,0,
1950-06-01,13811,23.800,29.700,56.2,59997,45044,0,
1950-07-01,13932,24.100,29.800,56.1,59839,45272,0,
1950-08-01,14587,24.300,29.900,56.8,60948,46401,0,
1950-09-01,14804,24.400,29.900,56.6,60245,47005,0,
1950-10-01,14928,24.600,30.000,56.9,60708,47239,0,
1950-11-01,14852,24.700,30.100,56.9,60313,47207,0,
1950-12-01,14864,25.000,30.200,56.7,59352,47931,0,
1951-01-01,14889,25.400,30.200,56.9,58166,46686,0,
1951-02-01,15047,25.700,30.400,57.0,58102,46833,0,
1951-03-01,15085,25.800,30.600,57.7,59366,47312,0,
1951-04-01,15032,25.800,30.700,57.3,59206,47505,0,
1951-05-01,14960,25.900,30.800,57.6,60219,47624,0,
1951-06-01,15088,25.900,30.800,57.1,60373,48059,0,
1951-07-01,14973,25.900,30.900,57.6,60968,47888,0,
1951-08-01,15184,25.900,31.000,57.4,61128,48195,0,
1951-09-01,15223,26.100,31.200,57.1,60408,48486,0,
1951-10-01,15153,26.200,31.400,57.3,60906,48550,0,
1951-11-01,15089,26.400,31.500,57.1,60464,48621,0,
1951-12-01,15111,26.500,31.600,57.7,60252,49397,0,
1952-01-01,14989,26.500,31.700,57.7,58884,47659,0,
1952-02-01,15069,26.300,31.900,57.7,58834,47765,0,
1952-03-01,15090,26.300,31.900,57.1,58912,47931,0,
1952-04-01,15049,26.400,31.900,57.1,59232,48268,0,
1952-05-01,14953,26.400,32.100,57.3,60250,48319,0,
1952-06-01,14754,26.500,32.100,57.3,60988,48305,0,
1952-07-01,14569,26.700,32.200,57.0,60775,47977,0,
1952-08-01,15391,26.700,32.300,56.8,60872,49077,0,
1952-09-01,15769,26.700,32.300,57.4,61162,49829,0,
1952-10-01,15868,26.700,32.500,56.9,60992,50156,0,
1952-11-01,15952,26.700,32.700,57.5,61394,50346,0,
1952-12-01,16034,26.700,33.000,57.6,60748,51274,0,
1953-01-01,15973,26.600,33.100,57.8,60134,49470,0,
1953-02-01,16105,26.500,33.200,58.0,60271,49541,0,
1953-03-01,16231,26.600,33.200,58.1,60874,49878,0,
1953-04-01,16190,26.600,33.400,57.5,60757,50071,0,
1953-05-01,16165,26.700,33.600,57.1,61061,50182,0,
1953-06-01,16284,26.800,33.700,57.4,62166,50575,0,
