id,year,years_experience,weeks_worked,occupation_code,industry_code,south_region,metropolitan_resident,ms,female,union_member,education,is_black,log_wage
1,1,3,32,0,0,1,0,1,0,0,9,0,5.56068
1,2,4,43,0,0,1,0,1,0,0,9,0,5.72031
1,3,5,40,0,0,1,0,1,0,0,9,0,5.99645
1,4,6,39,0,0,1,0,1,0,0,9,0,5.99645
1,5,7,42,0,1,1,0,1,0,0,9,0,6.06146
1,6,8,35,0,1,1,0,1,0,0,9,0,6.17379
1,7,9,32,0,1,1,0,1,0,0,9,0,6.24417
2,1,30,34,1,0,0,0,1,0,0,11,0,6.16331
2,2,31,27,1,0,0,0,1,0,0,11,0,6.21461
2,3,32,33,1,1,0,0,1,0,1,11,0,6.2634
2,4,33,30,1,1,0,0,1,0,0,11,0,6.54391
2,5,34,30,1,1,0,0,1,0,0,11,0,6.69703
2,6,35,37,1,1,0,0,1,0,0,11,0,6.79122
2,7,36,30,1,1,0,0,1,0,0,11,0,6.81564
3,1,6,50,1,1,0,0,1,0,1,12,0,5.65249
3,2,7,51,1,1,0,0,1,0,1,12,0,6.43615
3,3,8,50,1,1,0,0,1,0,1,12,0,6.54822
3,4,9,52,1,1,0,0,1,0,1,12,0,6.60259
3,5,10,52,1,1,0,0,1,0,1,12,0,6.6958
3,6,11,52,1,1,0,0,0,0,1,12,0,6.77878
3,7,12,46,1,1,0,0,0,0,1,12,0,6.86066
4,1,31,52,1,0,0,1,0,1,0,10,1,6.15698
4,2,32,46,1,0,0,1,0,1,0,10,1,6.23832
4,3,33,46,1,0,0,1,0,1,0,10,1,6.30079
4,4,34,49,1,0,0,1,0,1,0,10,1,6.35957
4,5,35,44,1,0,0,1,0,1,0,10,1,6.46925
4,6,36,52,1,0,0,1,0,1,0,10,1,6.56244
4,7,37,46,1,0,0,1,0,1,0,10,1,6.62141
5,1,10,50,1,0,0,0,1,0,1,16,0,6.43775
5,2,11,46,1,0,0,0,1,0,1,16,0,6.62007
5,3,12,40,1,0,0,0,1,0,1,16,0,6.63332
5,4,13,50,0,0,0,0,1,0,0,16,0,6.98286
5,5,14,47,1,0,0,1,1,0,0,16,0,7.04752
5,6,15,47,0,0,0,0,1,0,0,16,0,7.31322
5,7,16,49,0,0,0,0,1,0,0,16,0,7.29574
6,1,26,44,1,1,0,1,1,0,0,12,0,6.90575
6,2,27,47,1,1,0,1,1,0,0,12,0,6.90575
6,3,28,47,1,1,0,1,1,0,0,12,0,6.90776
6,4,29,47,1,1,0,1,1,0,0,12,0,7.00307
6,5,30,44,1,1,0,1,1,0,0,12,0,7.06902
6,6,31,45,1,1,0,1,1,0,0,12,0,7.52023
6,7,32,47,1,1,0,1,1,0,0,12,0,7.33889
7,1,15,46,1,0,0,0,1,0,1,12,0,6.1334
7,2,16,48,1,0,0,0,1,0,1,12,0,6.17379
7,3,17,49,1,0,0,0,1,0,1,12,0,6.21261
7,4,18,46,1,0,0,0,1,0,1,12,0,6.31355
7,5,19,47,1,0,0,0,1,0,1,12,0,6.37502
7,6,20,47,1,0,0,0,1,0,1,12,0,6.44572
7,7,21,48,1,0,0,0,1,0,1,12,0,6.52209
8,1,23,51,1,1,1,0,1,0,1,10,0,6.3315
8,2,24,50,1,1,1,0,1,0,1,10,0,6.40357
8,3,25,50,1,1,1,0,1,0,1,10,0,6.54391
8,4,26,50,1,1,1,0,1,0,1,10,0,6.56244
8,5,27,44,1,1,0,1,1,0,1,10,0,6.59167
8,6,28,51,1,1,0,1,1,0,1,10,0,6.81783
8,7,29,51,1,1,0,1,1,0,1,10,0,6.89163
9,1,3,50,0,0,1,1,1,0,0,16,0,6.55108
9,2,4,48,0,0,1,1,1,0,0,16,0,6.55108
9,3,5,50,0,0,1,1,1,0,0,16,0,6.80239
9,4,6,48,0,0,1,1,1,0,0,16,0,6.90776
9,5,7,48,0,0,1,1,1,0,0,16,0,7.09008
9,6,8,44,0,0,1,1,1,0,0,16,0,7.17012
9,7,9,48,0,0,1,1,1,0,0,16,0,7.20786
10,1,3,49,0,0,1,1,1,0,0,16,0,6.39693
10,2,4,47,0,0,1,1,1,0,0,16,0,6.43775
10,3,5,46,0,0,1,1,1,0,0,16,0,6.43775
10,4,6,44,0,0,1,1,1,0,0,16,0,6.43775
10,5,7,43,0,0,1,1,1,0,0,16,0,6.52209
10,6,8,34,0,0,1,1,1,0,0,16,0,6.61338
10,7,9,40,0,0,1,1,1,0,0,16,0,6.73934
11,1,24,47,1,0,0,1,0,0,1,12,0,6.65801
11,2,25,48,1,0,0,1,0,0,1,12,0,6.72623
11,3,26,45,1,0,0,1,0,0,1,12,0,6.80239
11,4,27,45,1,0,0,1,1,0,1,12,0,6.90776
11,5,28,47,1,0,0,1,1,0,1,12,0,7.03966
11,6,29,17,1,0,0,1,1,0,1,12,0,7.12769
11,7,30,47,1,0,0,1,1,0,1,12,0,7.24423
12,1,21,47,1,0,1,1,1,0,1,12,0,6.55108
12,2,22,46,1,0,1,1,1,0,1,12,0,6.62936
12,3,23,47,1,0,1,1,1,0,1,12,0,6.72263
12,4,24,47,1,0,1,1,1,0,1,12,0,6.7334
12,5,25,47,1,0,1,1,1,0,1,12,0,6.72263
12,6,26,47,1,0,1,1,1,0,1,12,0,6.95177
12,7,27,46,1,0,1,1,1,0,1,12,0,7.05272
13,1,26,48,1,0,1,1,1,0,0,12,0,6.90575
13,2,27,48,1,0,1,1,1,0,0,12,0,6.90073
13,3,28,50,1,0,1,1,1,0,0,12,0,7.17012
13,4,29,48,1,0,1,1,1,0,0,12,0,7.26543
13,5,30,48,1,0,1,1,1,0,0,12,0,7.25912
13,6,31,46,0,0,1,1,1,0,0,12,0,7.25488
13,7,32,46,1,0,1,1,1,0,0,12,0,7.40001
14,1,15,45,0,0,1,1,1,0,0,17,0,6.80239
14,2,16,45,0,0,1,1,1,0,0,17,0,6.80239
14,3,17,45,0,0,1,1,1,0,0,17,0,6.9256
14,4,18,44,0,0,1,1,1,0,0,17,0,7.00307
